position, team_name, matches_played, points, season
6,AS Roma,38,62,2012-2013
7,Lazio Roma,38,61,2012-2013
8,Calcio Catania,38,56,2012-2013
9,Inter,38,54,2012-2013
10,Parma FC,38,49,2012-2013
11,Cagliari Calcio,38,47,2012-2013
12,Chievo Verona,38,45,2012-2013
13,Bologna FC,38,44,2012-2013
14,Sampdoria,38,42,2012-2013
15,Atalanta,38,40,2012-2013
16,Torino FC,38,39,2012-2013
17,Genoa CFC,38,38,2012-2013
18,US Palermo,38,32,2012-2013
19,AC Siena,38,30,2012-2013
20,Pescara Calcio,38,22,2012-2013
1,Juventus,38,102,2013-2014
2,AS Roma,38,85,2013-2014
3,SSC Napoli,38,78,2013-2014
4,ACF Fiorentina,38,65,2013-2014
5,Inter,38,60,2013-2014
6,Parma FC,38,58,2013-2014
7,Torino FC,38,57,2013-2014
8,AC Milan,38,57,2013-2014
9,Lazio Roma,38,56,2013-2014
10,Hellas Verona,38,54,2013-2014
11,Atalanta,38,50,2013-2014
12,Sampdoria,38,45,2013-2014
13,Udinese Calcio,38,44,2013-2014
14,Genoa CFC,38,44,2013-2014
15,Cagliari Calcio,38,39,2013-2014
16,Chievo Verona,38,36,2013-2014
17,Sassuolo Calcio,38,34,2013-2014
18,Calcio Catania,38,32,2013-2014
19,Bologna FC,38,29,2013-2014
20,AS Livorno,38,25,2013-2014
1,Juventus,38,87,2014-2015
2,AS Roma,38,70,2014-2015
3,Lazio Roma,38,69,2014-2015
4,ACF Fiorentina,38,64,2014-2015
5,SSC Napoli,38,63,2014-2015
6,Genoa CFC,38,59,2014-2015
7,Sampdoria,38,56,2014-2015
8,Inter,38,55,2014-2015
9,Torino FC,38,54,2014-2015
10,AC Milan,38,52,2014-2015
11,US Palermo,38,49,2014-2015
12,Sassuolo Calcio,38,49,2014-2015
13,Hellas Verona,38,46,2014-2015
14,Chievo Verona,38,43,2014-2015
15,Empoli FC,38,42,2014-2015
16,Udinese Calcio,38,41,2014-2015
17,Atalanta,38,37,2014-2015
18,Cagliari Calcio,38,34,2014-2015
19,AC Cesena,38,24,2014-2015
20,Parma FC,38,19,2014-2015
